split,source_index,dataset,task
conformal-calib,1005,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,1905,Student Information and Grades Dataset,Contingency Table Test
conformal-calib,653,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,8152,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,7911,Student Information and Grades Dataset,Distribution Compliance Test
conformal-calib,5432,Crop Production Dataset,Distribution Compliance Test
conformal-calib,10183,University Rank Dataset,Correlation Analysis
conformal-calib,6923,FIFA Official Dataset 2023,Distribution Compliance Test
conformal-calib,2456,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,3962,Crop Production Dataset,Variance Test
conformal-calib,6164,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,6946,Fruits and Vegetables Prices Dataset,Descriptive Statistics
conformal-calib,6729,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,1744,Los Angeles Library Monthly Statistics,Correlation Analysis
conformal-calib,8164,Pokedex Dataset,Correlation Analysis
conformal-calib,10303,Crop Production Dataset,Distribution Compliance Test
conformal-calib,859,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,1023,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,3486,Advertising Budget and Sales Dataset,Descriptive Statistics
conformal-calib,10091,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,1011,Netflix TV Shows and Movies Scores Dataset in IMDB,Variance Test
conformal-calib,9945,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,319,Crop Production Dataset,Variance Test
conformal-calib,3485,Housing Price Dataset,Descriptive Statistics
conformal-calib,10454,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,8501,Pokedex Dataset,Descriptive Statistics
conformal-calib,3093,Students Math-Reading-Writing Performance Dataset,Distribution Compliance Test
conformal-calib,7400,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,4204,Dataset for Admission in the University,Distribution Compliance Test
conformal-calib,2414,Income and Happiness Score Dataset,Descriptive Statistics
conformal-calib,717,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,10304,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,1623,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,7007,Jobs and Salaries Dataset,Distribution Compliance Test
conformal-calib,10383,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,7411,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,8568,Crop Production Dataset,Variance Test
conformal-calib,8032,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,6090,Bank Customer Churn Prediction Dataset,Correlation Analysis
conformal-calib,3509,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
conformal-calib,8770,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,3697,Jobs and Salaries Dataset,Descriptive Statistics
conformal-calib,617,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,5751,Housing Price Dataset,Distribution Compliance Test
conformal-calib,6,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,9310,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,7130,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,7085,Rainfall Dataset of Barak Velly,Descriptive Statistics
conformal-calib,361,Crop Production Dataset,Variance Test
conformal-calib,9700,Obesity or CVD Risk Dataset,Variance Test
conformal-calib,2242,Dataset for Admission in the University,Correlation Analysis
conformal-calib,1323,Pokedex Dataset,Variance Test
conformal-calib,9758,Bank Customer Churn Prediction Dataset,Distribution Compliance Test
conformal-calib,2172,Crop Production Dataset,Variance Test
conformal-calib,2502,FIFA Official Dataset 2023,Correlation Analysis
conformal-calib,1063,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,3153,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,4201,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,2418,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,10011,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,4717,Los Angeles Library Monthly Statistics,Variance Test
conformal-calib,8690,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,8427,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,7788,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,2594,Customer Personality Analysis Dataset,Descriptive Statistics
conformal-calib,293,Crop Production Dataset,Variance Test
conformal-calib,10336,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,9451,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,362,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4869,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,9160,Income and Happiness Score Dataset,Variance Test
conformal-calib,9586,Pokedex Dataset,Correlation Analysis
conformal-calib,9166,Pokedex Dataset,Variance Test
conformal-calib,1709,Dataset for Admission in the University,Distribution Compliance Test
conformal-calib,1730,Crop Production Dataset,Distribution Compliance Test
conformal-calib,4775,Crop Production Dataset,Distribution Compliance Test
conformal-calib,4379,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,8953,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,8848,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,6222,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,5389,Heart Failure Prediction Dataset,Descriptive Statistics
conformal-calib,7696,Heart Failure Prediction Dataset,Distribution Compliance Test
conformal-calib,6181,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,4369,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,3025,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4389,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,9221,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,3254,Pokedex Dataset,Variance Test
conformal-calib,7664,Real Estate Valuation Dataset,Distribution Compliance Test
conformal-calib,5994,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,3699,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,7191,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,177,Terrorist Attacks Dataset,Descriptive Statistics
conformal-calib,1217,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,1018,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,334,Pokedex Dataset,Distribution Compliance Test
conformal-calib,2391,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,8111,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,1198,Crop Production Dataset,Distribution Compliance Test
conformal-calib,305,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,482,Crop Production Dataset,Distribution Compliance Test
conformal-calib,6479,Crop Production Dataset,Descriptive Statistics
conformal-calib,1515,Customer Personality Analysis Dataset,Distribution Compliance Test
conformal-calib,6062,Advertising Budget and Sales Dataset,Distribution Compliance Test
conformal-calib,2478,Exercise and Fitness Metrics Dataset,Variance Test
conformal-calib,2103,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,3639,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,1519,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,4458,Crop Production Dataset,Distribution Compliance Test
conformal-calib,1069,Exercise and Fitness Metrics Dataset,Distribution Compliance Test
conformal-calib,4158,Video Games Sales Dataset,Variance Test
conformal-calib,3602,Income and Happiness Score Dataset,Descriptive Statistics
conformal-calib,3230,Monroe County Car Crach Dataset,Contingency Table Test
conformal-calib,3389,GPA Study Hours Dataset,Descriptive Statistics
conformal-calib,6929,Advertising Budget and Sales Dataset,Distribution Compliance Test
conformal-calib,10066,FIFA Official Dataset 2023,Variance Test
conformal-calib,582,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,8931,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,440,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,8378,Crop Production Dataset,Variance Test
conformal-calib,5339,Real Estate Valuation Dataset,Variance Test
conformal-calib,5258,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,6718,Student Performance Prediction Dataset,Distribution Compliance Test
conformal-calib,1820,Crop Production Dataset,Variance Test
conformal-calib,702,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,4109,Obesity or CVD Risk Dataset,Contingency Table Test
conformal-calib,6791,Crop Production Dataset,Variance Test
conformal-calib,3949,Advertising Budget and Sales Dataset,Distribution Compliance Test
conformal-calib,757,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,4342,FIFA Official Dataset 2023,Correlation Analysis
conformal-calib,8635,Salary Dataset by Job Title and Country,Descriptive Statistics
conformal-calib,6852,Heart Failure Prediction Dataset,Correlation Analysis
conformal-calib,9085,Income and Happiness Score Dataset,Variance Test
conformal-calib,4478,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,1579,Crop Production Dataset,Distribution Compliance Test
conformal-calib,7666,Salary Dataset by Job Title and Country,Contingency Table Test
conformal-calib,2527,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,6708,Heart Failure Prediction Dataset,Contingency Table Test
conformal-calib,7547,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,1428,FIFA Official Dataset 2023,Descriptive Statistics
conformal-calib,4234,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,4288,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,8116,Monroe County Car Crach Dataset,Descriptive Statistics
conformal-calib,5582,Terrorist Attacks Dataset,Correlation Analysis
conformal-calib,9157,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,1149,Bank Customer Churn Prediction Dataset,Variance Test
conformal-calib,2267,Pokedex Dataset,Contingency Table Test
conformal-calib,6962,Terrorist Attacks Dataset,Distribution Compliance Test
conformal-calib,9603,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,2116,Los Angeles Library Monthly Statistics,Correlation Analysis
conformal-calib,606,Real Estate Valuation Dataset,Distribution Compliance Test
conformal-calib,7484,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,6905,Crop Production Dataset,Variance Test
conformal-calib,7206,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,3166,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,8620,Los Angeles Library Monthly Statistics,Distribution Compliance Test
conformal-calib,7345,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,4334,Crop Production Dataset,Variance Test
conformal-calib,4086,Crop Production Dataset,Variance Test
conformal-calib,8276,Customer Personality Analysis Dataset,Descriptive Statistics
conformal-calib,1581,Crop Production Dataset,Variance Test
conformal-calib,3770,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,9297,Obesity or CVD Risk Dataset,Descriptive Statistics
conformal-calib,9309,Student Performance Prediction Dataset,Correlation Analysis
conformal-calib,42,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,5688,Heart Failure Prediction Dataset,Descriptive Statistics
conformal-calib,8290,Students Math-Reading-Writing Performance Dataset,Contingency Table Test
conformal-calib,3585,Jobs and Salaries Dataset,Variance Test
conformal-calib,2740,Dataset for Admission in the University,Descriptive Statistics
conformal-calib,2313,Lung Cancer Survey Dataset,Contingency Table Test
conformal-calib,3692,Student Performance Prediction Dataset,Descriptive Statistics
conformal-calib,9519,Student Performance Prediction Dataset,Contingency Table Test
conformal-calib,9772,Pokedex Dataset,Descriptive Statistics
conformal-calib,8050,Crop Production Dataset,Variance Test
conformal-calib,3524,FIFA Official Dataset 2023,Contingency Table Test
conformal-calib,5579,Crop Production Dataset,Variance Test
conformal-calib,4587,US Christmas Tree Sales Dataset,Correlation Analysis
conformal-calib,5478,Income and Happiness Score Dataset,Distribution Compliance Test
conformal-calib,7881,Customer Personality Analysis Dataset,Correlation Analysis
conformal-calib,6601,Green House Gas Produce by Different Industry,Descriptive Statistics
conformal-calib,1013,Fruits and Vegetables Prices Dataset,Correlation Analysis
